x_coords,y_coords,pa,t,missing,ID,video_index,step
1870.800048828125,694.2999877929688,1262,351142093,0,2720dn,179,18
1500.5999755859375,478,1375,351142593,0,2720dn,179,19
1573.4000244140625,583,1388,351143093,0,2720dn,179,20
1521.699951171875,778.9000244140625,1393,351143593,0,2720dn,179,21
1321.9000244140625,768.2999877929688,1472,351144093,0,2720dn,179,22
1077.699951171875,672.5,1479,351144593,0,2720dn,179,23
998.9000244140625,936.7000122070312,1593,351145093,0,2720dn,179,24
780.5999755859375,714.2999877929688,1693,351145594,0,2720dn,179,25
1081.300048828125,867.5999755859375,1688,351146093,0,2720dn,179,26
1054.4000244140625,651,1700,351146593,0,2720dn,179,27
1085.699951171875,472.29998779296875,1657,351147093,0,2720dn,179,28
1119.9000244140625,467.5,1515,351147593,0,2720dn,179,29
1261.800048828125,768.9000244140625,1553,351148094,0,2720dn,179,30
1290.800048828125,632.0999755859375,1615,351148594,0,2720dn,179,31
1354.699951171875,656.7999877929688,1730,351149093,0,2720dn,179,32
851.2999877929688,936.4000244140625,1746,351149593,0,2720dn,179,33
984.9000244140625,779.4000244140625,1833,351150093,0,2720dn,179,34
1035.5999755859375,743.7999877929688,1825,351150594,0,2720dn,179,35
1370.699951171875,932.9000244140625,1896,351151093,0,2720dn,179,36
1467.199951171875,1045.5999755859375,1871,351151593,0,2720dn,179,37
1496,697.9000244140625,1878,351152093,0,2720dn,179,38
1219.5,724.5,1799,351152593,0,2720dn,179,39
1120.5,1214.800048828125,1521,351153093,0,2720dn,179,40
815.0999755859375,800.5,1890,351153594,0,2720dn,179,41
824.2999877929688,744.2000122070312,1894,351154093,0,2720dn,179,42
808.7000122070312,661.7999877929688,1801,351154594,0,2720dn,179,43
937,706.9000244140625,1976,351155094,0,2720dn,179,44
812.2999877929688,673.9000244140625,1958,351155593,0,2720dn,179,45
1266.199951171875,892.9000244140625,1905,351156093,0,2720dn,179,46
965.2999877929688,1047.300048828125,2027,351156593,0,2720dn,179,47
1324.5,619.5999755859375,1993,351157094,0,2720dn,179,48
1379.4000244140625,658,1644,351157593,0,2720dn,179,49
1310.800048828125,525.5,1729,351158093,0,2720dn,179,50
860.4000244140625,1057.699951171875,1873,351158593,0,2720dn,179,51
1233.699951171875,486,1729,351159093,0,2720dn,179,52
1167.0999755859375,443,1770,351159593,0,2720dn,179,53
1029,459.3999938964844,1850,351160094,0,2720dn,179,54
767.2000122070312,461.6000061035156,1889,351160593,0,2720dn,179,55
1309.5999755859375,653.5999755859375,1868,351161094,0,2720dn,179,56
665.2999877929688,660.0999755859375,1989,351161593,0,2720dn,179,57
1271.4000244140625,780.2000122070312,1919,351162093,0,2720dn,179,58
1412.5999755859375,844.4000244140625,1942,351162593,0,2720dn,179,59
906.4000244140625,980.2999877929688,2069,351163094,0,2720dn,179,60
1337.0999755859375,878.4000244140625,912,351694290,0,2720dn,202,1
1616,729.2000122070312,934,351694790,0,2720dn,202,2
1544.0999755859375,1141.300048828125,955,351695291,0,2720dn,202,3
1954.0999755859375,1141,1042,351695791,0,2720dn,202,4
1467.0999755859375,783,1010,351696290,0,2720dn,202,5
1950.9000244140625,1082.0999755859375,940,351696790,0,2720dn,202,6
1587.9000244140625,1100.5,1042,351697290,0,2720dn,202,7
2015.4000244140625,1007.9000244140625,1039,351697790,0,2720dn,202,8
2202.5,951.0999755859375,987,351698290,0,2720dn,202,9
2246.699951171875,905.5,919,351698790,0,2720dn,202,10
1696.199951171875,746.5,901,351699290,0,2720dn,202,11
2162.5,879.5999755859375,953,351699790,0,2720dn,202,12
2209.899902,813.4000244140625,955,351700290,0,2720dn,202,13
917.0999755859375,492.1000061035156,884,351700790,0,2720dn,202,14
1806.800048828125,1153.5,929,351701290,0,2720dn,202,15
2239.199951171875,972.4000244140625,1069,351701790,0,2720dn,202,16
2102.199951171875,453.20001220703125,894,351702290,0,2720dn,202,17
2468.300048828125,1077.0999755859375,950,351702790,0,2720dn,202,18
2278.199951171875,1053.9000244140625,953,351703291,0,2720dn,202,19
1777.4000244140625,581.7999877929688,942,351703791,0,2720dn,202,20
2277.399902,977.7999877929688,1042,351704291,0,2720dn,202,21
2489.800048828125,1439.5999755859375,748,351704850,0,2720dn,202,22
1923.699951171875,606.7000122070312,1068,351705291,0,2720dn,202,23
1693.4000244140625,745.5999755859375,1103,351705790,0,2720dn,202,24
1728.199951171875,1016,1141,351706290,0,2720dn,202,25
1605.199951171875,591.5999755859375,1003,351706790,0,2720dn,202,26
1589.5,951.7999877929688,1090,351707291,0,2720dn,202,27
1352.800048828125,906,1236,351707791,0,2720dn,202,28
316.5,424.70001220703125,1154,351708290,0,2720dn,202,29
821.5999755859375,630,1217,351708790,0,2720dn,202,30
629.2999877929688,1191.0999755859375,1236,351709290,0,2720dn,202,31
616.0999755859375,1255,1263,351709790,0,2720dn,202,32
522.2000122070312,727,1032,351710290,0,2720dn,202,33
1661.699951171875,759.2999877929688,1081,351710790,0,2720dn,202,34
1260.4000244140625,846.7999877929688,991,351711290,0,2720dn,202,35
1305.9000244140625,885.4000244140625,1062,351711790,0,2720dn,202,36
1477.0999755859375,853.7000122070312,951,351712290,0,2720dn,202,37
1540,729.7999877929688,999,351712790,0,2720dn,202,38
1783.5999755859375,1048.800048828125,974,351713291,0,2720dn,202,39
1778.5,854.7999877929688,1036,351713790,0,2720dn,202,40
1603.5,896,1123,351714291,0,2720dn,202,41
1573.300048828125,834.9000244140625,1112,351714791,0,2720dn,202,42
1547,873.7000122070312,1144,351715291,0,2720dn,202,43
1466.300048828125,918.7999877929688,1135,351715790,0,2720dn,202,44
1565.5999755859375,1370.4000244140625,923,351716292,0,2720dn,202,45
1363,775.9000244140625,1004,351716790,0,2720dn,202,46
1387.199951171875,732.7999877929688,987,351717290,0,2720dn,202,47
1382.300048828125,768.5999755859375,987,351717791,0,2720dn,202,48
1507.800048828125,774.7000122070312,998,351718290,0,2720dn,202,49
1523.4000244140625,746.0999755859375,907,351718791,0,2720dn,202,50
1520.699951171875,778,927,351719291,0,2720dn,202,51
1522.4000244140625,826.9000244140625,1020,351719790,0,2720dn,202,52
1754.0999755859375,671.2999877929688,1133,351720291,0,2720dn,202,53
1563.9000244140625,540.2000122070312,1058,351720790,0,2720dn,202,54
881.5999755859375,469.3999938964844,1066,351721290,0,2720dn,202,55
1743.9000244140625,622.4000244140625,1192,351721791,0,2720dn,202,56
1219.300048828125,1278.5999755859375,883,351722291,0,2720dn,202,57
659.5,670.7999877929688,1221,351722790,0,2720dn,202,58
833.9000244140625,678.7000122070312,1173,351723290,0,2720dn,202,59
607.2000122070312,764,1238,351723790,0,2720dn,202,60
1405.0999755859375,846.0999755859375,1308,351724290,0,2720dn,202,61
1025.699951171875,763.9000244140625,1388,351724790,0,2720dn,202,62
1553.300048828125,850.5,1016,352428073,0,2720dn,203,1
1609.800048828125,667.2999877929688,981,352428573,0,2720dn,203,2
1759.0999755859375,742.5,1073,352429073,0,2720dn,203,3
361.1000061035156,553.9000244140625,1120,352429574,0,2720dn,203,4
377.8999938964844,500.8999938964844,1046,352430073,0,2720dn,203,5
856,760.7999877929688,1155,352430573,0,2720dn,203,6
1603.0999755859375,644.5,1130,352431074,0,2720dn,203,7
2020.9000244140625,731.2000122070312,1175,352431573,0,2720dn,203,8
2224,830.7999877929688,1171,352432073,0,2720dn,203,9
1897,680.4000244140625,1271,352432573,0,2720dn,203,10
1355.9000244140625,443.20001220703125,1118,352433074,0,2720dn,203,11
633.5999755859375,528.0999755859375,1160,352433573,0,2720dn,203,12
1285.300048828125,499.6000061035156,1014,352434074,0,2720dn,203,13
1240.5,465.8999938964844,836,352434573,0,2720dn,203,14
1299.9000244140625,476.6000061035156,852,352435074,0,2720dn,203,15
1127.800048828125,613.7999877929688,879,352435573,0,2720dn,203,16
473.8999938964844,305.79998779296875,954,352436073,0,2720dn,203,17
1156.5,490.1000061035156,878,352436573,0,2720dn,203,18
1228.9000244140625,536.7999877929688,995,352437074,0,2720dn,203,19
1254,541.5,912,352437573,0,2720dn,203,20
1225.199951171875,615.4000244140625,935,352438074,0,2720dn,203,21
376.3999938964844,506.3999938964844,1121,352438573,0,2720dn,203,22
499.6000061035156,917.2999877929688,1202,352439074,0,2720dn,203,23
1403.300048828125,480.29998779296875,1198,352439573,0,2720dn,203,24
1539.699951171875,651.5999755859375,1230,352440074,0,2720dn,203,25
1535.300048828125,702.5999755859375,1305,352440573,0,2720dn,203,26
1808.800048828125,704,1315,352441073,0,2720dn,203,27
1310.699951171875,389.70001220703125,1273,352441573,0,2720dn,203,28
344,552,1343,352442074,0,2720dn,203,29
1397.800048828125,762.0999755859375,1321,352442573,0,2720dn,203,30
2128.5,816,1338,352443073,0,2720dn,203,31
492.29998779296875,526.4000244140625,1368,352443574,0,2720dn,203,32
465.29998779296875,534,1330,352444073,0,2720dn,203,33
385.70001220703125,439.1000061035156,1401,352444573,0,2720dn,203,34
539.0999755859375,442.3999938964844,1359,352445073,0,2720dn,203,35
647.4000244140625,459.1000061035156,1361,352445573,0,2720dn,203,36
584.5999755859375,632.4000244140625,1422,352446073,0,2720dn,203,37
714.2999877929688,467.20001220703125,1425,352446573,0,2720dn,203,38
855.5999755859375,479.20001220703125,1501,352447073,0,2720dn,203,39
1507.5999755859375,676.2999877929688,1569,352447574,0,2720dn,203,40
2098.199951171875,894.2999877929688,1500,352448074,0,2720dn,203,41
1264.4000244140625,422.1000061035156,1373,352448574,0,2720dn,203,42
886.5,398.3999938964844,1524,352449074,0,2720dn,203,43
809.2999877929688,460,1586,352449573,0,2720dn,203,44
1742.9000244140625,706.2999877929688,1590,352450073,0,2720dn,203,45
651.7999877929688,523.7000122070312,1618,352450574,0,2720dn,203,46
676.9000244140625,841,1687,352451073,0,2720dn,203,47
630.0999755859375,626.4000244140625,1645,352451573,0,2720dn,203,48
1204.5,486.8999938964844,1515,352452073,0,2720dn,203,49
287.29998779296875,428.5,1565,352452574,0,2720dn,203,50
